352,ARCC,7.94B,5.34,1.08,-,18.58
354,GAIN,447.37M,6.88,1.10,-,13.63
356,MAIN,2.78B,11.48,1.80,53.11,43.68
358,NAD,2.95B,13.98,0.95,-,14.60
360,NRK,1.19B,14.58,0.90,-,13.59
341,KSS,8.00B,0.40,1.49,16.33,51.19
343,VIVO,418.95M,2.08,2.19,6.71,9.80
345,CCI,58.49B,10.02,5.17,321.37,140.60
347,TEO,1.89B,0.50,1.07,2.92,11.71
349,LPL,4.82B,0.23,0.43,2.03,6.79
351,APO,10.53B,5.54,8.14,8.20,47.88
353,DMLP,674.37M,8.27,5.81,30.79,19.53
355,GGN,595.75M,31.99,0.98,-,4.37
357,MSB,309.47M,9.13,19.40,11.90,23.48
359,NEA,3.76B,13.94,0.95,-,14.30
362,SLRC,878.60M,5.64,0.95,-,20.79
364,CYD,548.33M,0.23,0.45,-,13.40
366,AQN,7.45B,4.64,2.18,-,14.17
368,BEP,8.30B,2.74,2.02,-,46.41
370,DCUE,69.16B,4.47,3.14,-,105.58
372,NEP,3.17B,3.94,1.75,16.26,52.49
374,PEG,29.64B,2.94,1.98,247.00,58.63
376,TERP,3.42B,3.61,1.73,14.30,15.16
378,ABBV,133.04B,4.05,-,12.49,89.83
380,PFE,218.36B,4.12,3.35,24.03,39.38
361,SBR,589.87M,11.32,127.66,72.82,40.85
363,ABB,52.68B,1.86,3.88,16.13,24.06
365,MMM,101.80B,3.18,9.51,13.12,176.59
367,AVA,3.23B,2.38,1.67,222.53,47.71
369,BIP,20.85B,3.27,2.56,14.65,49.89
371,EXC,44.10B,1.26,1.38,26.20,45.32
373,NWE,3.59B,2.90,1.80,717.32,71.56
375,PEGI,2.67B,5.26,3.36,25.15,27.13
377,PETS,453.95M,1.65,3.67,4.78,23.06
379,GSK,116.83B,2.72,7.58,20.46,46.91
382,WBA,51.73B,0.38,2.25,50.57,58.90
384,CAH,15.15B,0.10,16.83,12.50,51.17
386,CEPU,826.34M,-,0.96,-,5.49
388,CWEN,1.56B,1.52,1.23,-,19.85
390,D,66.63B,4.31,2.39,176.26,81.46
392,DUK,67.99B,2.71,1.48,167.05,90.39
394,ED,29.78B,2.37,1.66,381.82,89.65
396,ELP,4.56B,1.20,1.05,7.46,16.50
398,ETR,23.78B,2.18,2.37,24.88,119.52
400,FE,26.15B,2.36,3.59,36.52,48.51
381,SNY,124.82B,3.04,1.92,-,50.30
383,TAK,62.39B,-,1.58,-,19.79
385,AY,2.63B,2.62,1.79,3.27,26.27
387,CIG,5.30B,0.87,1.17,13.69,3.38
389,CWEN-A,3.69B,3.59,1.17,24.90,18.96
391,DTE,24.66B,1.86,2.19,324.44,128.55
393,EBR-B,12.84B,-,1.13,-,9.49
395,EIX,26.38B,2.13,1.99,48.24,75.35
397,ENIC,6.67B,1.81,1.42,28.03,4.77
399,EVRG,15.03B,2.88,1.74,299.92,64.05
402,IPLDP,342.70M,0.16,0.11,1.86,25.57
404,OGE,8.81B,3.88,2.10,667.33,44.00
406,PPL,25.61B,3.30,2.16,38.22,35.53
408,SPKE,331.69M,0.39,2.38,6.71,9.26
410,LGF-A,2.28B,0.60,0.80,9.81,10.49
412,NTG,719.31M,-,-,-,11.38
414,ADM,25.63B,0.40,1.38,26.76,46.20
416,CHSCP,343.21M,0.01,-,1.63,28.04
418,SPTN,523.58M,0.06,0.74,22.38,14.32
420,BLX,860.46M,3.03,0.85,0.80,21.56
401,FTS,19.06B,-,1.63,-,41.17
403,KEP,15.25B,0.30,0.26,3.10,11.78
405,PNW,10.00B,2.81,1.80,334.57,88.95
407,SO,66.20B,3.03,2.41,22.59,63.17
409,WSO,6.89B,1.47,4.38,114.45,181.94
411,ETJ,595.60M,-,-,-,9.35
413,STK,375.81M,-,-,-,23.67
415,BG,7.91B,0.19,2.15,8.31,57.38
417,KHC,38.24B,1.51,0.75,16.52,31.63
419,BCS,42.19B,-,0.47,0.04,9.42
422,LYG,60.19B,2.77,1.02,-,3.30
424,UBS,48.59B,2.97,0.81,0.09,12.48
426,AVAL,3.08B,-,1.70,-,8.77
428,BBVA,38.15B,1.09,0.71,0.14,5.59
430,BMA,3.09B,1.60,1.89,1.81,37.75
432,KB,18.08B,1.43,0.51,0.27,42.80
434,NTB,2.01B,5.05,2.06,0.45,37.33
436,WF,7.67B,0.86,0.43,0.18,31.90
438,IGT,3.07B,0.64,1.16,5.67,14.91
440,CNP,13.54B,1.12,2.04,13.47,26.91
421,HSBC,159.49B,2.96,0.81,0.16,38.92
423,SAN,69.64B,1.21,0.61,0.20,4.12
425,WBK,60.57B,2.65,1.29,0.95,16.77
427,BBAR,1.54B,1.07,1.33,0.91,6.11
429,BCH,10.99B,4.01,2.41,1.28,21.55
431,ITUB,85.20B,2.46,2.81,0.43,9.15
433,MFG,38.92B,-,0.47,-,3.07
435,SMFG,50.97B,2.19,0.51,0.07,7.41
437,KEN,1.16B,3.14,1.60,4.11,21.30
439,AGR,15.42B,2.41,1.03,149.72,50.57
442,OKE,31.50B,2.96,5.07,46.79,76.13
444,SPH,1.38B,1.09,3.23,575.99,22.03
446,TGS,766.53M,0.99,1.78,4.41,7.45
448,CUK,32.31B,1.58,1.32,28.02,48.36
450,SIX,3.82B,2.55,-,18.03,45.59
452,MTBCP,317.51M,4.87,8.76,-,26.84
454,BBBY,2.25B,0.19,1.12,2.29,17.25
456,ETH,503.04M,0.69,1.36,10.96,18.89
